currentfret,currentstring,notename,frequency,maxlevel,overtone1level,overtone2level,overtone3level,overtone4level,overtone5level
15,5,G5,775.1953,0.0203851089,0.005723138,0.005572583,0.0,0.0,0.0
13,5,F5,689.0625,0.00815787353,0.009411231,0.00174674857,0.0,0.0,0.0
12,5,E5,656.7627,0.00760042435,0.0018631306,0.00192302011,0.0,0.0,0.0
15,4,D5,592.1631,0.0236428026,0.005434533,0.00725938147,0.0,0.0,0.0
14,4,C#5/Db5,549.0967,0.0108496882,0.00188896572,0.002183737,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.008610949,0.00183158845,0.00181299227,0.0,0.0,0.0
13,4,C5,516.7969,0.0165783931,0.00563998334,0.00246963813,0.000681241858,0.0,0.0
12,4,B4,495.263672,0.00967125,0.00309844478,0.00311030517,0.0005956495,0.0,0.0
15,3,A#4/Bb4,473.730469,0.0141417067,0.002312736,0.00608210731,0.000788716541,0.0,0.0
14,3,A4,441.430664,0.009812852,0.00184635166,0.00123347912,0.0005567279,0.0,0.0
13,3,G#4/Ab4,419.897461,0.0116017563,0.003457197,0.00175895938,0.00086228404,0.0,0.0
12,3,G4,398.364258,0.0130973738,0.005580398,0.00384442462,0.00125624007,0.0,0.0
15,2,F4,344.53125,0.0112826061,0.000576610968,0.00196920312,0.00100595423,0.0,0.0
14,2,E4,333.764648,0.01739012,0.00242748857,0.00090361305,0.000528117758,0.0,0.0
13,2,D#4/Eb4,312.231445,0.0177706033,0.003158632,0.001349202,0.000377086,0.0,0.0
12,2,D4,290.698242,0.0100917686,0.00349865435,0.00180943985,0.00099078,0.0,0.0
15,1,C4,258.398438,0.0146210631,0.0015804813,0.00265765586,0.0009149286,0.00111117773,0.0
14,1,B3,247.631836,0.0173089523,0.00110926141,0.0008550782,0.0003107046,0.000277468265,0.0
13,1,A#3/Bb3,236.865234,0.0154192736,0.00236854353,0.0006944252,0.0003541435,0.000592366152,0.0
12,1,A3,226.098633,0.0145303672,0.004993243,0.00207527541,0.00157787977,0.000349422,0.0
15,0,G3,193.798828,0.018771518,0.00117252767,0.002159334,0.000435041758,0.00103039457,0.0
14,0,F#3/Gb3,183.032227,0.00952339,0.00144238491,0.00118668622,0.000409825443,0.000129027962,0.0
13,0,F3,172.265625,0.02782287,0.00644456362,0.0009550156,0.000963208964,0.00137278519,0.0
12,0,E3,161.499023,0.02007953,0.006772832,0.002315817,0.00149374665,0.000614937861,0.0
12,0,E3,161.499023,0.0189395584,0.006157214,0.00124478212,0.001609078,0.0004904063,0.0
13,0,F3,172.265625,0.0244974811,0.005666768,0.0007704601,0.000409299362,0.0009177314,0.0
14,0,F#3/Gb3,183.032227,0.0252700131,0.0026528968,0.002357401,0.0006453769,0.0009112106,0.0
15,0,G3,193.798828,0.0262063276,0.00390065042,0.00303381681,0.000729035935,0.001997781,0.0
12,1,A3,226.098633,0.0116691627,0.00402301876,0.00126816146,0.0009862902,0.000523056369,0.0
13,1,A#3/Bb3,236.865234,0.0129647953,0.00321358582,0.0006916558,0.000588692143,0.000108991611,0.0
14,1,B3,247.631836,0.0173378345,0.0016378432,0.00158380426,0.000729659048,0.000317269471,0.0
15,1,C4,258.398438,0.0102596274,0.00135933643,0.00207626075,0.000641630148,0.000436227478,0.0
12,2,D4,290.698242,0.0152282724,0.00561044738,0.00129319192,0.00160699745,0.0,0.0
13,2,D#4/Eb4,312.231445,0.009754193,0.0008363755,0.000197896909,0.000206098353,0.0,0.0
12,3,G4,387.597656,0.00775304344,0.004105627,0.0024002376,0.0007044669,0.0,0.0
13,3,G#4/Ab4,419.897461,0.008484167,0.001654812,0.0007075093,0.000551132951,0.0,0.0
14,3,A4,441.430664,0.014346675,0.0005064641,0.0004985147,0.000219035152,0.0,0.0
15,3,A#4/Bb4,462.963867,0.0141301323,0.00197056914,0.00340484,0.000462297467,0.0,0.0
12,4,B4,495.263672,0.0162700824,0.0107975034,0.00619509956,0.001540884,0.0,0.0
13,4,C5,527.5635,0.0118096583,0.00276042032,0.00296395645,0.0003240561,0.0,0.0
14,4,C#5/Db5,549.0967,0.008445471,0.00736211427,0.002371564,0.0,0.0,0.0
15,4,D5,581.3965,0.024567904,0.0038010315,0.009049722,0.0,0.0,0.0
12,5,E5,656.7627,0.0140437856,0.0119996527,0.010760664,0.0,0.0,0.0
13,5,F5,699.8291,0.0189735238,0.007354024,0.00509305438,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.02441452,0.00625800528,0.006394724,0.0,0.0,0.0
15,5,G5,775.1953,0.0115425372,0.00609805435,0.00482216943,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.01016029,0.0009605718,0.0007867151,0.0,0.0,0.0
13,5,F5,689.0625,0.0111388955,0.001222536,0.0003405099,0.0,0.0,0.0
12,5,E5,645.9961,0.0142049259,0.008492395,0.003947841,0.0,0.0,0.0
15,4,D5,592.1631,0.01021829,0.003895146,0.00699821347,0.0,0.0,0.0
14,4,C#5/Db5,559.8633,0.021205809,0.00540689752,0.008665491,0.0,0.0,0.0
13,4,C5,527.5635,0.02061458,0.003705509,0.004399532,0.0010981689,0.0,0.0
12,4,B4,495.263672,0.0100860922,0.0128157223,0.00417151861,0.00285930256,0.0,0.0
15,3,A#4/Bb4,473.730469,0.0196171366,0.005545148,0.009833476,0.00178792793,0.0,0.0
14,3,A4,441.430664,0.03966191,0.007975256,0.00289926352,0.00124160119,0.0,0.0
13,3,G#4/Ab4,419.897461,0.017347917,0.0028763006,0.00109321228,0.000209216829,0.0,0.0
12,3,G4,387.597656,0.0145282373,0.006752362,0.00428161072,0.000966404739,0.0,0.0
15,2,F4,355.297852,0.010266874,0.00159332855,0.00356492773,0.00195927825,0.0,0.0
14,2,E4,333.764648,0.01399248,0.00411297148,0.0029238353,0.00145642646,0.0,0.0
13,2,D#4/Eb4,312.231445,0.0134562049,0.00175255106,0.00119442388,0.0005682894,0.0,0.0
12,2,D4,290.698242,0.0152358459,0.00579480734,0.00371027435,0.001476123,0.0,0.0
15,1,C4,269.165039,0.0222899336,0.00376267964,0.00582792331,0.001959085,0.0008958596,0.0
14,1,B3,247.631836,0.0234941319,0.002705991,0.002654801,0.0007254618,0.000228597681,0.0
13,1,A#3/Bb3,236.865234,0.00775704766,0.00302411267,0.000765636447,0.00104466977,0.0008775857,0.0
12,1,A3,226.098633,0.009295563,0.00293155247,0.00138613745,0.00127684732,0.0003541924,0.0
15,0,G3,193.798828,0.030459078,0.00459730625,0.00404454954,0.000171392589,0.000658241741,0.0
14,0,F#3/Gb3,183.032227,0.02442804,0.00342931622,0.00258717313,0.000905115041,0.00172487367,0.0
13,0,F3,172.265625,0.0155178513,0.00447028223,0.00051718473,0.0004832605,0.0005991877,0.0
12,0,E3,161.499023,0.0170065388,0.008105515,0.00200055,0.001989336,0.00124418642,0.0
12,0,E3,161.499023,0.0219788924,0.00738447625,0.00218147272,0.00190458377,0.0012290976,0.0
14,0,F#3/Gb3,183.032227,0.008627662,0.001798186,0.000469172082,0.000196299574,0.000118805525,0.0
15,0,G3,193.798828,0.0186132416,0.002601235,0.005499633,0.0009767107,0.00111428415,0.0
12,1,A3,226.098633,0.0134422388,0.005191954,0.00127560413,0.00177067413,0.000311323063,0.0
13,1,A#3/Bb3,236.865234,0.0158118047,0.00264630141,0.0006063951,0.0007574117,0.00066735677,0.0
14,1,B3,247.631836,0.01938513,0.00219618855,0.00305617647,0.0017645394,0.000542061054,0.0
15,1,C4,258.398438,0.009134157,0.0028053713,0.00431641843,0.00335063948,0.0001774922,0.0
12,2,D4,290.698242,0.0150634041,0.007466328,0.004671326,0.00280864141,0.0,0.0
13,2,D#4/Eb4,312.231445,0.0175426546,0.003153958,0.0003269691,0.00171679957,0.0,0.0
14,2,E4,333.764648,0.0149481464,0.00240722322,0.00305473851,0.00118114077,0.0,0.0
15,2,F4,344.53125,0.009280961,0.00162336719,0.00584852928,0.00216779951,0.0,0.0
12,3,G4,387.597656,0.0121727539,0.009709616,0.004478081,0.00288374163,0.0,0.0
13,3,G#4/Ab4,419.897461,0.0187557936,0.00430492871,0.002533199,0.0009194084,0.0,0.0
14,3,A4,441.430664,0.04275392,0.006285131,0.0030532917,0.000750320556,0.0,0.0
15,3,A#4/Bb4,473.730469,0.0168428663,0.00292308256,0.00477472227,0.00105016888,0.0,0.0
12,4,B4,495.263672,0.0202128682,0.0114356466,0.00564110046,0.0009893314,0.0,0.0
13,4,C5,516.7969,0.007813148,0.003374516,0.00243253377,0.00112826249,0.0,0.0
14,4,C#5/Db5,549.0967,0.0234927647,0.008751684,0.00355996634,0.0,0.0,0.0
15,4,D5,581.3965,0.01314331,0.00596097531,0.00399126532,0.0,0.0,0.0
12,5,E5,656.7627,0.0216541644,0.014133607,0.005258892,0.0,0.0,0.0
13,5,F5,689.0625,0.0106973117,0.00324064423,0.00169320649,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.0276914742,0.006805375,0.003819964,0.0,0.0,0.0
15,5,G5,775.1953,0.0259325542,0.009685985,0.005305644,0.0,0.0,0.0
13,5,F5,689.0625,0.016742805,0.00271985563,0.001426303,0.0,0.0,0.0
12,5,E5,645.9961,0.008496247,0.0139896106,0.0047953194,0.0,0.0,0.0
14,5,F#5/Gb5,732.1289,0.01444368,0.00180996279,0.000797439832,0.0,0.0,0.0
13,5,F5,689.0625,0.0103650484,0.0123071736,0.004218938,0.0,0.0,0.0
12,5,E5,656.7627,0.0155660585,0.0051320293,0.0041600815,0.0,0.0,0.0
15,4,D5,592.1631,0.009639983,0.00197837059,0.0121286474,0.0,0.0,0.0
14,4,C#5/Db5,559.8633,0.015522928,0.00223068381,0.00280342437,0.0,0.0,0.0
13,4,C5,527.5635,0.0214567315,0.0117091341,0.00476386072,0.0012704723,0.0,0.0
12,4,B4,495.263672,0.009248233,0.00257822452,0.007060464,0.00181635062,0.0,0.0
15,3,A#4/Bb4,473.730469,0.0224891249,0.00691258861,0.00700011523,0.00275822659,0.0,0.0
14,3,A4,441.430664,0.0219997726,0.00212563574,0.002069467,0.001044604,0.0,0.0
13,3,G#4/Ab4,419.897461,0.022337364,0.00737604825,0.003810041,0.0007844037,0.0,0.0
12,3,G4,398.364258,0.02274245,0.006939064,0.004980319,0.00160838652,0.0,0.0
15,2,F4,355.297852,0.0192159116,0.00178050273,0.00595588936,0.00166243536,0.0,0.0
14,2,E4,333.764648,0.00976643,0.00205378374,0.001953081,0.00114815438,0.0,0.0
13,2,D#4/Eb4,312.231445,0.0179552827,0.00416278047,0.00127678353,0.00138795143,0.0,0.0
12,2,D4,290.698242,0.0155252768,0.006020277,0.00354445912,0.00317161228,0.0,0.0
15,1,C4,269.165039,0.0194600485,0.0017692009,0.005741943,0.0009264106,0.0004729451,0.0
14,1,B3,247.631836,0.0182799324,0.00214842847,0.00196532928,0.000994677,0.00013354441,0.0
13,1,A#3/Bb3,236.865234,0.014771712,0.00385186356,0.000728346058,0.0008324317,0.0007367744,0.0
12,1,A3,226.098633,0.0124473162,0.004586585,0.001286491,0.00209951,0.000326184148,0.0
15,0,G3,193.798828,0.0229250379,0.004087195,0.00333791832,0.000895189,0.0004664794,0.0
14,0,F#3/Gb3,183.032227,0.0190272853,0.00281526148,0.00212225085,0.0006863658,0.000823660346,0.0
13,0,F3,172.265625,0.014710078,0.00354582327,0.000718232244,0.0005010802,0.0009786409,0.0
12,0,E3,161.499023,0.01648808,0.00762241054,0.001969674,0.00132150343,0.0003143403,0.0
